mana man kagam	мой друг мне писал
i ashde maluʔpi	и рожь осталась
kabarlej	хватит
tumoʔim tospak uge surerluʔpi	кот всё время за мышами гонялся
dizeng bar torlaʔpiʔi	они плакали
digette di ibi da kulambi	потом он взял да и умер
dizeng bar suʔmiluʔpiʔi	они все заплясали
i shobiʔi	и пришли
dim embiʔi	положили его 
i davaj kunzitte krospaʔine din dune tildzitte	и понесли его на кладбище чтобы там похоронить
i din nukebe tospak amnolbiʔi	и там посадили его жену кошку
kunlaʔbeʔje	несут его
iʔgo tumoʔi shobiʔi	много мышей пришло
kumbiʔi	принесли
dune embiʔi	положили в землю
i duziʔ kamnebiʔi	и землёй засыпали
i parluʔbiʔi maʔnde	и домой вернулись
suʔmileʔbeʔje	пляшут
di kulambi tospak	кот умер
kabarlej	хватит
amnobiʔi nuke buze	жили жена и муж
dizenggen imbide ej nagobi	у них ничего не было
ipek naga	хлеба нет
paʔi naga luchinaʔi naga	дров нет лучин нет
kanaʔ dijene pajlaʔ	пойди в тайгу за дровами
di kambi	он пошёл
din davaj oniʔ pa baltuziʔ jaʔsitte	там начал одно дерево топором рубить
digette sujo nergoleʔ shobi	тогда вылетает птица
imbi tanan kereʔ buze	что тебе нужно человек
di mande mana paʔi kereʔ	он говорит мне дрова нужны
a to naga paʔi	а то дров нет
kanaʔ mande	иди домой
din paʔi iʔgo	там много дров
di shobi mande i ugande paʔi iʔgo	он пришёл домой а там дров очень много
digette nuket mande kanaʔ	потом его жена говорит иди
pushaj milej ipek	пусть хлеба даст
digette shobi	потом он пришёл
bazoʔ baltuziʔ jaʔpi	опять топором стал рубить
bazoʔ sujo nergolaʔpi	опять оттуда птица вылетела
imbi tanan kereʔ buze	что тебе нужно человек
ipek naga	хлеба нет
kanaʔ mande	иди домой
di shobi bar	он пришёл
tuzojeʔi ulareʔi bar iʔgo	много коров овец
albej sheden	полный загон
i amzitte iʔgo ige	и еды много
nuke ambi ambi kanaʔ	жена ела ела  иди
norbeʔ shtobi tan ibiel kong a man konggen ne	скажи  чтобы ты был начальником а я начальника женой
di kambi bazoʔ baltuziʔ jaʔpi	он пошёл снова топором рубит
sujo nergolaʔpi	птица вылетела
imbi tanan kereʔ	что тебе нужно
da man man kong ilem a man nukem toze man kong molej	да я начальником быть а моя жена тоже станет
kanaʔ	иди
digette shobi	потом он пришёл
amnobiʔi amnobiʔi	они жили жили
nukende  kanaʔ norbeʔ shtobi tan ibiel bi tsar a man tsaritsaziʔ	жене снова 
kambi	он пошёл
davaj baltuziʔ jaʔsitte pam	начал рубить дерево топором
sujo nergoluʔpi	прилетела птица
imbi tanan kereʔ buze	что тебе нужно человек
da man shtobi ibiem tsar a man nukem tsaritsa	да чтобы я был царём а моя жена царицей
kanaʔ	иди
di shonega il bar uzuʔi  bar saʔmelaʔbejeʔ diʔne	он идёт все люди шапки  все ему кланяются
digette shobi amnobiʔi amnobiʔi	потом он пришёл жили они жили
digette nuke bazoʔ surerleʔbe di buzem	потом жена опять мужа гонит
kanaʔ	иди
shtobi tan kudaj ibiel a man kudajen ijat	чтобы ты был богом а я бога матерью
di kambi davaj bazoʔ baltuziʔ jaʔsitte di pam	он пошёл стал рубить то дерево топором
di sujo nergoleʔ shobi 	эта птица прилетает
imbi tanan kereʔ	что тебе нужно
da man kudaj molam a man nukem kudajen ijat	чтобы я стал богом а моя жена матерью бога
kanaʔ	иди
tan buga molej a tan nuke shoshka molej	ты станешь быком а твоя жена станет свиньёй
digette shobi	потом он пришёл
di buze buga a nuket shoshka	этот человек стал быком а его жена свиньёй
i dareʔ malaʔbeʔi	и так остались
kabarlej	хватит
amnobiʔi nagurgoʔ poʔto tibi i ular tibi i tospak tibi	жили трое козёл и баран и кот
tospak uge tojirbi	кот всё время воровал
uja amnaʔbe	мясо ест
oroma amnaʔbe	сметану ест
din net bar munorlaʔbe munorbi ujut izembi	потом жена по ноге его ударила нога у него заболела
di shonega i dorlaʔbe	он идёт и плачет
a shide ular da poʔto iʔbelaʔbe	а два баран и козёл лежат
imbi dorlaʔbel	почему ты плачешь
da mana munorbi di ne	да меня побила эта женщина
imbi tan abial	что ты наделал
da oromem ambiam	да сметану съел
digette di manlia tuj bar oromam ambial	потом она сказала
nada mana poʔto baʔsitte	мне придётся козла зарезать
man tuganbe sholuʔjeʔ	мои родственники приедут
nada amorzitte mizitte	надо их кормить”
digette dizeng maliaʔi kanzebaʔ nagurgoʔ	потом они говорят
shaʔlambaʔ	мы спрячемся
digette oniʔ mande ularde toʔnarde uluziʔ varotaʔi	потом один говорит барану
di toʔnarluʔpi	он ударил
ej ej karluʔpiʔi	не открылись
digette poʔto toʔnarluʔpi boste uluziʔ	тогда козёл удаил своей головой
varotaʔi karluʔpiʔi	ворота открылись
digette dizeng nuʔmeluʔpiʔi	потом они убежали
nuʔmeluʔpiʔi nuʔmeluʔpiʔi digette shobiʔi din noʔ iʔgo nugaʔi	бежали бежали потом пришли там травы много стояло
nudi molambi	наступил вечер
nada shaste	надо ночевать
digette kirbi kuba siri pagen	потом содрал кору с берёзы
i diʔne amnuʔte sherbi	надел на рога 
digette mande toʔnarlaʔ	потом сказал ударьтесь 
oniʔ oniʔte dizeng toʔnarluʔpiʔi	они ударились 
i shu naniluʔpi	и огонь загорелся
digette amnelbiʔi i ejumneʔpiʔi	тогда они сели и согрелись
kabarlej	останови 
dizeng ejumnubiʔi	они согрелись
digette urgaba shobi	потом пришёл медведь
amnelbi toze ejumnubi	сел тоже согрелся
digette kambi noʔde din iʔbebi	потом пошёл к сена там лёг
a tospak nuʔnen amnebi	а кот сел сверху 
a di ular i poʔto shugen iʔbelaʔbi	а баран и козёл у огня легли
digette shobiʔi volkeʔi	потом пришли волки
oniʔ sire volk	один белый волк
digette tospak mande	тогда кот говорит
miʔ kagam iʔbelaʔbe  	там у стога наш брат лежит
dim 	согрейте его
digette di urgaba oniʔ ibi volkde 	тогда этот медведь взял одного волка
oniʔ udande	в одну лапу
i oniʔ ibi bashka udande di	а другого взял в другую лапу
dizeng bar kak nerojluʔpiʔi i uʔmeluʔpiʔi	они все испугались и убежали
digette ular i poʔto i tospak nuʔmeluʔpiʔi bazoʔ	потом баран и козёл и кот снова убежали
digette din bazoʔ volkeʔje	потом там опять волки
di tospak sabi pane	кот залез на дерево
a dizeng edobiʔi	а они повисли 
digette di mande man kagam	потом говорит 
man shidem ilim a tanan kumen kereʔ	я двоих возьму а тебе сколько нужно
digette poʔto saʔmeluʔpi da volkende amnoste	потом козёл упал и волку 
digette di nereʔluʔpi	потом он испугался
dizeng nereʔluʔpiʔi i nuʔmeluʔpiʔi	они испугались и убежали
kabarlej	хватит
dizeng digette kambiʔi boste aktizangde nagurgoʔ	потом они трое пошли своей дорогой
kabarlej	хватит
amnobiʔi nagurgoʔ urgaba i volk i lisa	жили втроём медведь и волк и лиса
digette kambiʔi imbi-nibud dabeste	потом пошли они кого-нибудь ловить
di volk kambi	пошёл волк
i ular tojirluʔpi i deʔpi	и овцу украл и принёс
digette urgaba i lisitsa kambiʔi 	потом медведь и лисица пошли кормить 
urgaba  na shto tan amnial sil	медведь  ты зачем жир ешь
a di mande kamen di surarga tan mana manderaʔ	а говорит когда он спросит ты на меня посмотри
digette shobiʔi	потом они пришли
a volk mande giber girambi sil	а волк говорит куда жир делся
a di manderia diʔne	а он на неё смотрит
imbi manderial	ты что смотришь
kak amnaʔbel dak ej manderbial	когда ты ел ты не смотрел
digette davaj dizeng urgaba s volkem daberozitte	потом начали они медведь с волком бороться
a lisitsa uja ibi da kalla durbi	а лисица взяла мясо и убежала
dizeng nuʔmeluʔpiʔi diziʔ	они с ней погнались
di bar nuʔmeluʔpi ej daʔpiʔi dizeng dim	она убежала они её не поймали
amnobiʔi oniʔ turagen koʔbdo i ni	жили в одной деревне девочка и мальчик
dizengde amzitte nagabi imbide	есть у них было нечего
amzitte naga dizeng	есть нечего им
koʔbdo kambi	девочка пошла
shonega shonega nuke bu detleʔbe	идёт идёт женщина воду несёт
di mande deʔ man tanan kabazerlam	она говорит дай я тебе помогу
digette shidegoʔ kumbiʔi kumbiʔi	потом вдвоём несли несли 
deʔpiʔi mande	принесли домой
digette di mande man tanan milem shojdo kanaʔ	потом она говорит
da di boste minzerlej tanan kasha a digette mande pasiba	и он сам тебе кашу будет варить а потом говори
ej kereʔ dashka	больше не нужно”
digette di shobi mande shum embi	потом она пришла домой огонь развела
di shojdom di bar minzerleʔbe iʔgo minzerbi	этот туес он варит много наварил
mande spasiba tanan sho shojdo	она говорит спасибо туес
digette ambiʔi	потом они поели
i dareʔ uge amnobiʔi amorbiʔi	и так они долго жили ели
oniʔ kalla durbi	однажды ушла
a nit davaj minzereʔ mande mana	а мальчик  давай вари говорит для меня
di minzerbi a di ej timniet imbi norbeste	он варит а он не знает что сказать
mangnaʔbe vezde bar di kasha	течёт уже везде эта каша
digette sestrat shonega da kirgarlaʔbe spasiba gorshok	потом приходит сестра и кричит спасибо горшок
digette shobi	потом пришла
i di ni kamende dashka ej minzerbi di gorshokgen kasha	и этот мальчик больше никогда не варил в этом горшке кашу
kabarlej	хватит
oniʔ buze amnobi din nuke kulambi	жил один мужчина его жена умерла
di ibi bashka nuke	он взял другую жену
din nuken koʔbdo ibi i di buzen koʔbdo	у этой жены была дочь и у этого мужчины дочь
di buzen koʔbdot bar imbi togonorleʔpi imbi	дочь этого мужчины какую угодно работу делала
a diʔne uge ej jakshe ibi mande tan ugande iri ej togonorial	а с ней нехорошо обходилась говорила ты очень ленивая не работаешь
digette di buzene mande konde bosle koʔbdo dijene i din bar din amnolde	потом она говорит мужу увези свою дочь в лес и там оставь
di konbi din amnolbi	он увёз  там оставил
digette di tura din kubi shobi turane	потом она дом там нашла вошла в дом
tumo deʔ mana ipek	мышка  дай мне хлеба
di diʔne mimbi	она ей дала
digette kuza shobi nudi molambi	потом пришёл человек ночь настала
diʔne konggoro mibi	дал ей колокольчик
tan nuʔmeleʔ a man tanan dabelam	ты беги а я тебя ловить буду
digette tumo shobi konggoro ibi i turagen bar nuʔmeleʔpi	потом пришла мышка взяла колокольчик и стала бегать по дому
di dim dabeluʔpi dabeluʔpi ej mobi dabeste	он её ловил ловил не смог поймать
koʔbdo saʔlambi	девушка спряталась
erte molambi di uʔbdebi	настало утро она встала
diʔne mimbi akta olda iʔgo	он дал ей деньги много одежды
jamaʔi mibi plat iʔgo	сапоги дал платок много 
digette di nuke kanaʔ koʔbdol din 	потом эта женщина  иди забери там твоей дочери косточки
oʔbdelil de deʔte	соберёшь и привези
dune tillebeʔ	мы похороним
di kambi	он пошёл
shobi koʔbdon bar akta iʔgo olda iʔgo	пришёл у дочери много денег много одежды
dim ibi amnolbi inene shonega	он взял её посадил на лошадь едет
a men bar kirgarlaʔbe buzen koʔbdo shonega akta detlege i olda iʔgo detlege	а собака лает
a di nuke mande iʔ shamaʔ	а жена говорит не ври
digette buze shobi iʔgo deʔpi i akta i koʔbdobe deʔpi	потом муж приехал и денег много привёз и дочь свою привёз
digette mande kunde man koʔbdom din amnolde	потом говорит возьми мою дочь оставь её там
di kombi di koʔbdom	он увёз эту девушку 
tomo  ej mibi	мышка  хлеб не дала
digette nudin kubi tura turane shobi	потом вечером она нашла дом вошла в дом
din kuza mande teinen nudin konggoro  man tanan dabelim	там человек говорит
a tumo ej shobi	а мышка не пришла
di konggoro ibi nuʔmeluʔpi nuʔmeluʔpi di dim daʔpi da bar amnuʔpi bar	она взяла колокольчик бегала бегала он её поймал и съел
digette  kanaʔ man koʔbdo ile	потом говорит пойди забери мою дочь
di kambi	он пошёл
ibi	взял 
shobi oniʔ kostachkaʔi iʔbelaʔbeʔje	пришёл одни косточки лежат
oʔbdebi i deʔpi	собрал и привёз
digette men bazoʔ kurumnaʔbe nuken koʔbdot bar kostachkaʔi detleʔbe buze	тогда собака опять лает
iʔ shamaʔ a to munorlel tanan	не ври а то тебя
digette buze shobi oniʔ kostachkaʔi deʔpi	потом муж приехал одни косточки привёз
i di koʔbdon dune embiʔi i tilbiʔi	и эту дочку в землю положили и закопали
ibi kurojok ne	жила сердитая женщина
di uge kurolaʔpi tibizeng munorlaʔpi	она всегда сердитая была людей била
taresta sholej di bar kirgarlaʔbe munorlej dim	староста придёт она кричит побьёт его
ugande kurojok il pimnieʔi digeʔ	очень сердитая люди её боялись
digette shobi oniʔ soldat	потом пришёл один солдат
man dim tushuʔlim	я её проучу
nudin korerbi inezengde	вечером запряг лошадей
shobi	приехал
di dim iluʔpi ineʔine embi	взял он её и положил на лошадей
deʔpi sapoznikte	привёз к сапожнику
sapozniken nebe deʔpi dober gijen di barina amnobi	а жену сапожника привёз туда где эта барыня жила
digette di erten uʔluʔpi	потом утром она проснулась
gijen man kunollaʔbem	где я сплю
diʔne bu deʔpiʔi	ей принесли воды
deʔpiʔi kadelde kishkeste di kishkeluʔpi	принесли вытереть лицо она полотенцем вытерлась
amzitte mibiʔi	дали поесть
kujdergan nuldebiʔi segi bu	самовар поставили чай 
di amorlaʔbe	она ест
shobi taresta diʔne	пришёл к ней староста
imbi azitte	что делать
imbi talden abial teinen i dim aʔ	что вчера делали то и сегодня делайте
di kambi mandliaʔi	он пошёл смотрят
jakshe molambi barina miʔ	барыня наша доброй стала
ej kudonzlia	не ругается
digette ej munoria shindimde	и не бьёт никого
digette nunebi di soldat	потом солдат об этом услышал
shide mesats kambi	два месяца прошло
a di kuznetsgen barina amnobi	а у того кузнеца барыня живёт
imbi ej uʔblial	ты почему не встаёшь
imbi pesh ej 	почему печь не топится
bujleʔ kanaʔ	иди за водой
di mande deʔ mana bazejdeste	она говорит
di ibi remende munorbi munorbi	он взял ремень бил  бил
di kabarbi aspaʔ kambi bujleʔ	она взяла ведро пошла за водой
imbide ej molia azitte	ничего делать не умела
amnobi amnobi	жила там жила
digette bazoʔ kunolluʔpiʔi	потом опять они заснули
di soldat shobi	тот солдат пришёл
di barinam deʔpi mande	эту барыню домой привёз
a kuznetsen nede toze mande deʔpi	и жену кузнеца тоже домой привёз
digette erten uʔbdebi	потом утром она встала
kada man dober shobiam boste mande	как я сюда вернулась в свой дом
digette surarlaʔbe boste	потом спросила
da tan gijende i nagobial don amnobial	да ты нигде и не была здесь жила
digette kuznetsen ne jakshe amnolaʔbe	а жена кузнеца хорошо живёт
a di ej kurojok molambi	а она не стала сердитой
jakshe molambi di barina	доброй стала эта барыня
digette	потом…
kabarlej	хватит
amnobiʔi zuravel i sapla	жили журавль и цапля
digette zuravel kalam monoʔkoste	журавль пойду посватаюсь к ней
shobi sablane	пришел к цапле
mande ej kalam	говорит не пойду
unna amnolam	одна буду жить
digette di kambi mande	тогда он пошел домой
digette di mande adnaka kalam diʔne tibine	потом она думает
kambi diʔne	пошла к нему
man kalam tanan tibine	я выйду за тебя замуж
a di mande dok man ej ilem	а он говорит нет я не возьму 
digette di kalla durbi mande	тогда она пошла домой
digette zurav zra mandem ej ibiem	потом журавль зря я сказал что не возьму
kalam monoʔkoste	пойду посватаюсь
shobi	пришел
di mande dok man ej kalam	она говорит нет я не пойду
digette mimbiʔi mimbiʔi	они ходили ходили
i dare maluʔpiʔi	и так и остались
i tujo dare amnolaʔbeʔje	и сейчас так живут
kabarlej	все
oniʔ kuza ibi	жил один человек
ugande maktanarzitte jakshe mobi	он очень хорошо умел хвастаться
digette kudonzebi ilziʔ	потом он поссорился с людьми
digette mimbi dijene	тогда он ушёл в тайгу
mande man din urgaban ujut kubiom	он говорит я нашёл медвежий след
digette kambiʔi	потом они пошли
din sledeʔi manderbiʔi	они шли по следам
shobiʔi urgo majane	пришли к большой горе
berlogte urgabane	в берлогу к медведю
digette di mande sargaʔ remni i mana oʔluʔgeʔ diber	тогда он говорит
dizeng dim diber oʔluʔbiʔi	они опустили его туда
i baruʔluʔpi remniʔi	и бросили 
di din amnolaʔbe	он там сидит
dala nagur dala amnoluʔpi	день три дня просидел
amzitte axota	есть хочется
digette bar remniʔi ambi	он тогда ремни съел
paʔpi urgabane berlokte	залез к медведю в берлогу
din eju kunolluʔpi	там тепло он заснул
digette urgaba ujut mibi	потом медведь свою лапу дал
di dim ambi ambi	он ел ел
digette amzitte ne axota	потом есть не хотелось
digette eju mobi	потом тепло стало
urgaba mande amnaʔ mana man tan kunnallam mande 	медведь говорит садись на меня я отвезу тебя домой
digette di kambi mande	тогда он пошёл домой
amnebi urgabane	сел на медведя
urgaba kumbi maʔnde	медведь отвёл его домой
a nagur menzeng dette dober da mana oʔb nit	а принеси мне трёх собак и привяжи одного 
digette di shobi	потом он пришёл
il shobiʔi surarlaʔbeʔje	люди пришли спрашивают
di imbide ej dabakterbi ilziʔ	он ничего людям не сказал
digette nagur men ibi	потом взял трёх собак
urgabane kumbi	отвёл к медведю
i diber 	и пустил туда
i parbi maʔnde	и вернулся домой
i kamende ej kudonzebi ilziʔ	и никогда не ссорился с людьми
dal jakshe amnoste	дал им хорошо жить
kabarlej	хватит
oniʔ kuza daʔpiʔi	одного человека поймали
di imbide ej tojirbi	он ничего не украл
deʔpiʔi dim kongde	его привели к царю
dim kuʔsitte nada	надо его убить
edeste	повесить
digette di mande man umeju zolota kuʔsitte	потом он говорит
nada du tarirzitte	надо землю вспахать
digette shobiʔi kongde norbiʔi di kuʔlej zolota tanan	потом пришли и сказали царю
digette di shobi tan mambim kuʔlel zolota	потом он приходит ты говорю я будешь золото сеять
di tarirbi du	он вспахал землю
digette dette zolota	потом  принесите золото
di deʔpi	он принёс
shindide abes ej mibi	никто  священник не дал
sudja ej mibi	судья не дал
iʔgo il ej mibiʔi	многие люди не дали
digette di mande man kamende ej tojirbiam	потом он сказал я никогда не крал
ej tojirlam	я не буду красть
a tan mana kuʔsitte xatel	а ты меня убить хотел
digette maluʔpi di kuza	потом этот человек остался 
kabarlej	хватит
tebte plonkaʔi nubilaʔ padi bar shamnaʔbeʔje	плёнку поставил наверное врут
teʔte kobsang oniʔ ulunkane kinzleʔbeʔje	четыре девочки в одну дырку писают
di= imbi dirgit	что это
di tuzoj surdlial	это корову доишь
teʔte nujuʔi	четыре соска
ot girgit	вот так
teʔte kobsang oniʔ lunken kinzleʔbeʔje	четыре девочки в одну дырку писают
a imbi di dirgit	а что это
imbi tuzoj	что корова
teʔte nujo oniʔ lunkaʔine sut milleʔbe	четыре соска в одну молоко дают 
a di surarla imbi di dirgit tan zagatkal	а этот спрашивает что это такое твоя загадка
di stol	это стол
teʔte nugaʔi a uzut stolde	четыре человека стоят а их шляпа стол
teʔte kagaʔi oniʔ uzunde nugaʔi	четыре брата в одной шляпе стоят
digette shide kaga nuʔmeleʔbeʔje shide bidleʔbeʔje	два брата бегут два догоняют
a norbit di imbi dirgit	а скажи что это такое
telega a kalosaʔi nuʔmeleʔbeʔje	телега а колёса бегут
shide kaga kamrola nugaʔi	два брата стоят 
a di imbi dirgit	а это что такое
da shide pa nulaʔbeʔje a dizem sarluʔpiʔi	да два дерева стоят а их связывают
iat  koʔbtot komu nit ebte kuvas nuʔte kallaʔ durbi	мать толстая дочь красная сын с красивыми вверх пошёл
di urgo pesh	это большая печь
a shu koʔbtot a ber nit	а огонь её дочь а дым её сын
bugen kalam-kalam aʔti naga	по воде хожу-хожу а дороги нет
dagajdi batlam-batlam kem naga	ножом режу-режу а крови нет
bugen kandegal akti naga	по реке едешь дороги нет
a dagajzi ipek batlal kem naga	а ножом хлеб режешь крови нет
eto zagadka	это уж загадка
amnobi oniʔ buze	жил один человек
din sageshte iʔgo ibi	он был очень 
il di bar kabazerbi	люди ему помогали
imbi mallej dak uge jakshe mogaʔ	что он скажет всегда  будь хорошим
digette din nit ibi	потом у него был сын
di dim ugande tang ajirbi	он его очень любил
il milleʔbeʔje da maliaʔi a tan nil ej jakshe alia	люди приходят и говорят твой сын нехорошо поступает
kudonzlia	он ругается
digette oniʔ nuke shobi tan nil mana kudolbi	потом пришла одна женщина
kudolaʔ dim	выругай его
digette di edeʔpi edeʔpi nudin shobi din nit	потом он ждал ждал вечером приходит его сын
davaj di diʔne tan iʔ kirgaraʔ 	он стал ему 
ilziʔ jakshe dabakteraʔ	говори с людьми по-хорошему
a di mande kirgarzitte dak tolko jakshe molej	а он говорит
dok ej jakshe	нет не хорошо
ine ej kirgaria kade jakshe molaʔbe	если не будешь кричать на лошадь увидишь какой она хорошей станет
kabarlej	хватит
nab i lagushen	утка и лягушка
nab nergolaʔ shobi bune saʔmeluʔpi	прилетела утка села на воду
imbi tan mana ej timniel	почему ты меня не знаешь
man nab igem	я утка
a tan lagushka ej timniel mana	а ты лягушка меня не знаешь
man bugen moliam minzitte	я могу по воде ходить 
i dugen moliam i nuʔde	и по земле могу и сверху 
a di diʔne mande oniʔsiʔ imbi-nibud nada togonorzitte a iʔgo i iʔ	а та ей отвечает
kabarlej	хватит
shidegoʔ lisitsa i teterev	двое лисица и тетерев
lisitsa diʔne mande shoʔ dune nergoʔ dober	лисица ему говорит спускайся на землю лети сюда
tanziʔ dabakterlubaʔ tuj ej nunniem	мы с тобой поговорим сейчас я тебя не слышу
dok man pimniem	нет я боюсь
dugen bar mingeʔi menʔi da vsakij zveriʔi mana amnuʔbeleʔje	кругом собаки ходят и всякие звери они меня съедят
a to tan ishsho mana amnal	и ты ещё можешь меня съесть
dok tuj ej daberolaʔbeʔje	нет теперь не дерутся
jakshe amnolaʔbeʔje	хорошо живут
a di mande von menzeng nuʔmelaʔbeʔje	а он говорит смотри собаки бегут
a di nuʔmeste xatel	а она хотела убежать
di mande imbi nuʔmelaʔbel	говорит что ты убегаешь
tuj jakshe bar amnolaʔbeʔje	теперь же хорошо живут
shindim ej amnia	никто никого не ест
a shindi timniet mozet dizeng ej timneʔi shto jakshe amnoste da kabarluʔjeʔ	а кто знает может они не знают что хорошо жить и поймают 
boste nuʔmeluʔpi	сама убежала
i di maluʔpi unna	и тетерева оставила одного
kabarlej	хваит
nuke buzezeʔ amnobi	жили старуха со стариком
shide niden ibiiʔ	было у них два сына
di nizengden sarbinden essen udabe saj neʔleden	сыновья их играя детям руки отрывают
so abiiʔ sone sarbiiʔ	плот построили к нему их привязали
uʔleʔ mibiiʔ bune	в воду его пустили
bu manglaʔ shonnamnaiʔ nunan jilgende	течением принесло их под утёс
bu paʔlaʔbe	вода прибывает 
dizeng kegererbiiʔ kudajen ijat ijabaʔ kudajen ijat sabejʔte miʔnibeʔ kudajen ijat	они закричали матерь божья мать наша матерь божья вытащи нас матерь божья
solaj eʔbdebe koderbi oʔleʔ mibi	расплела она косу с левой стороны детям сбросила
essengde ej tulaʔ eʔbdet	не достали её волосы до детей
mana pelde koderbi	с правой стороны косу расплела
mana eʔbdet tubi essengde	с правой стороны волосы достали до детей
esseng oʔbdebi tabelaʔ supsobiiʔ digeʔ	дети подобрали волосы ухватились за них и выбрались оттуда
nunan nigende uʔbdelbi oʔleʔ mibi	вытащила она их на вершину утёса и отправила их
kanggaʔ aʔte dara	идите по дороге
milloʔbdebiiʔ	они пошли
kandebiiʔ	шли они
kandebiiʔ urgu aʔte toʔbdobi	шли они вышли на широкую дорогу
dizeng aʔten toʔgende amnaiʔ	сели у края дороги
kubinden bozeraʔ inezebi alep shonnamna	видят герой на гнедом коне скачет
dizeng shundebiiʔ	они свистнули
inet sinegende sholaʔ uzebi	опустился его конь на колени
penzut eneidene shundelie	злой дух леший это свистит
boste ei di kambi milluʔbi menej	сам он не пошёл  мимо прошёл
bazoʔ sager inezebi alep shonnamna	снова скачет герой на чёрном коне
bazoʔ shundluʔbiiʔ	снова они засвистели
inet bazoʔ sinigende sholaʔ uzebi	снова его конь упал на колени
bazoʔ penzut malia	снова он говорит дух
eneidene bostu shundelie	сам леший это свистит
boste bazoʔ melluʔbi	сам снова мимо прошёл
di esseng kergierbiiʔ kergierieiʔ kanda aʔtelaʔ moguj shona aʔtelaʔ nagoguj	дети закричали они кричат
bazoʔ siri inezebi alep shonnamna	снова скачет герой на белом коне
dizeng esseng bazoʔ shundebiiʔ	дети снова засвистели
inet nulambi	конь его остановился
digette kallaʔ kubi	тогда он пошёл и увидел 
kajet esseng igeleʔ	что вы за дети
dirgit dirgit esseng igebeʔ	мы такие-то такие-то дети
essengde shu embi kambi bulan tippi	разжег он детям огонь пошёл лося подстрелил
teppi essengde bulanen kubatseʔ essengde maʔ abi	принёс детям лося из лосиной шкуры чум детям сделал
amnogaʔ esseng	живите тут дети
tili ibine parbine ilem shiʔnileʔ	если живым вернусь возьму вас с собой
dare mambi	так сказал
bostu milluʔbi i nagurgit talan di shide aleben bosh inezengden parlandegaiʔ	сам ушёл а на третий день две лошади без всадников возвращаются
konzanzangden pakzenzangden inen nanende lamberlaʔ kandegajeʔ	идут сёдла и стремена на животе болтаются
dizen piʔnette siri inezebi parlamna	за ними на белом коне возвращается
shobi essenggenden ibi essem maʔgende kunnaʔ kambi	приехал он к детям взял их и привёл к себе домой
malia man amnollaʔbo ali maʔgenilaʔ kallelaʔbo	говорит им
oʔbde malia man kallam	один отвечает
oʔbde digen maʔbi	другой там остался
alebej ine konzandelaʔ mibi	запряг лошадь 
milluʔbi maʔgende shobi	поехал он домой приехал
oniʔ maʔ nuga	одинокий чум стоит
jadat kak tuje naga	деревни его как была раньше больше нет
di maʔde shubi	вошел он в этот чум
surariat takte nuke takte buze jadalaʔ girambi	спрашивает
dizeng norbelieiʔ shide nibeʔ ibi	отвечают они
il sone sarbize oʔleʔ mibi bune	привязали их люди к плоту пустили по реке
dizen piʔneende koʔbdobaʔ ibi	после них дочь у нас была
di ilem bar kutlaʔ kumbi	она всех этих людей убила
a gijen koʔbdolaʔ girambi	куда же ушла ваша дочь
bospaʔ ej timnebeʔ	сами не знаем
di ni inebe shibi peleʔ kallaʔ turbi	сел парень на коня уехал искать её
kambi urgo karaʔde	поехал в широкую степь
digen tunoldelaʔ milleʔbi	там галопом скакал
di nim kubiza tunoldelaʔ shobi	увидев парня галопом прискакала
suʔmeleʔ nangbi di nine	на скаку на парня напала
digette taberobiiʔ	затем стали бороться
kagat ushteluʔbi dim	брат её повалил
tabolaʔbe norbeleʔbe man tan kagal igem	сжал её крепко и говорит
ej taberoʔ	не борись со мной
muktuʔ kuzaʔi sageshsebi kambiʔi	пошли шесть мудрецов
tilzitte du kos nendeste	землю копать уголь жечь
digette ujuzangde diber paʔpiʔi	потом их ноги утонули там
mandeʔi shinden ujut ej mobiʔi	они говорят ни у кого ног нет
digette shobi kuza	потом пришёл человек
imbi amnolaʔbeʔje	почему они тут сидят
di miʔ ujuʔi ej  shindin girgit	мы не знаем где чьи ноги
di mande baltuʔi mibileʔ dak digette man shiʔnileʔ alam jakshe	он говорит
digette ibi pa da davaj dizeng munorzitte	потом он взял палку и давай их бить
dizeng bar suʔmiluʔpiʔi i nuʔmeluʔpiʔi	они выскочили и побежали
digette mandeʔi nada pa	потом они говорят нам нужны дрова
oniʔ mande man mu baldelim	один говорит я ветку сломаю
digette baldebi baldebi	потом ломал её ломал
oniʔ ibi ujutsiʔ	один взял за ногу
digette bar teʔteguʔ ibiʔi	потом стали вчетвером 
digette di mande udam tuʔpi	потом он говорит у меня рука взмокла
kishkelim	я вытру
digette oʔluʔbi 	потом он отпустил 
saʔmeluʔpiʔi	они упали
daberobiʔi	стали драться
imbide ej timnebiʔi	они ничего не знали
i kabarlej	хватит
amnolaʔbi nuke buze	жили жена и муж
dizeng imbide nagobi	у них ничего не было
di buze kurleʔpi jamaʔi	муж плёл лапти
da sadarbi dareʔ dizeng amnobiʔi	и продавал так они и жили
a dizenggen imbide nagobi	но у них ничего не было
tolko oniʔ poʔto ibi	только один козёл был
da kambi oniʔ	и ушёл он 
kambi dijene kurzitte	он пошёл в тайгу лыки драть
kubaʔi kurbi kurbi	лыки драл драл
a poʔto milleʔbe din noʔ amnaʔbe	а козёл там ходит траву ест
