горовэ-э нулгӣчэвун.	долго аргишили.
ну, мэнңилдук дуннэлдук гаңкӣтын тар эвэнкил, антил эрупчут индечатын.	ну, со своих земель брали те эвенки, которые плохо жили.
бу= оролорвун дефкиттыкӣвун.	оленеводам нашим наши продукты  .
ну, только дюрвэ хами нимӈака̄р.	ну, только две знаю сказки.
нуӈартын ӈэ̄ллэ.	они испугались.
жерди, аӈэ, жэрдилвэ, тар мо̄лвэ но̄ттэ, где у него амӈан.	жерди, палки разложили, где у него вход.
би гуним:	я подумала:
до̄лдырэн: чулугды  эмэдерэ.	услышал: чулугды приходят.
туг оронми иргидефкӣ-то̄, оронми иргивдо̄н, короппан менять надо, хирулвэ меняттеңа̄т.	так оленя воспитывают, чтобы оленя воспитывать, важенок менять надо, быков менять будем.
и ичэрэв тадӯ: аминмун орорин ӯчакилин тэгэтчэрэ.	и увидели там: олени, учаки нашего отца лежат .
куӈакан тарин луhу, балдыдяна, hаӈӯктавкӣ:	ребенок этот все время, пока рос, спрашивал:
гиркундякал идӯ-дэ̄! — гусе, —	гуляй повсюду! — сказал, —
та̄ла̄, наверное, биркэ.	там , наверное, был.
умуко̄нмэ маӈӣва аhадерэ, нюӈун бинэл, аhӣва маӈӣва.	одного медведя гонят вшестером, медведицу.
мoртын исэттэ хоктэвэр.	сами смотрели дорогу свою.
тадук директориф то̄лӣ бисён алексей дмитриевич елдогир, гиркӣв минӈӣ.	потом, директором тогда был алексей дмитриевич елдыгир, мой друг.
багдакэлэ ичэтнэ̄hинэм.	поехал диких смотреть.
hутэлин тадӯ бидевкӣл.	его дети там были.
надалдавэ нулгӣчōвун кун... тāлā.	семь дней аргишили потом.
тукко̄р оёлинэ эр арамака̄н некэлиӈнэм.	вот так потихоньку я начинаю обычно делать, почесывая.
аӈивэ, мо̄вэ тарэ би... минэ но̄да̄рэн.	эту, палку, меня швырнул.
но всё равно упкат уже почти лучадыт упкат hэӈкэтчэпкӣл.	но все равно уже все почти по-русски говорят.
шура ну.	шура, да
тавартыкӣ тар истоктулӣ, тавар, истоктӯ би хинэ нянчитчича̄в аха.	в ту сторону, к тому, истоку, там, на истоке я тебя нянчила, ага.
тари тар тāдӯ дю̅таравун, инэрэвун.	вот там пожили в чуме, побыли.
«эбэ̄й, бэе, экэл ӈэлифсе бидегин.	«ах, человек, не надо, страшно, пусть будет.
«эла̄ нуӈарватын но̄дям?»	«куда я их дену?»
«э̄, ēкунинда̄-кэм эсё ӈэливсипчу бирэ!»	«э, никого же страшного нет!»
нуӈан гунэн.	он говорит: 
hэлэ эвӣвунэвэр одям».	вот игрушку сделаю».
минӈӣ амӣм бисо̄н гэрбӣн дада, эвэды гэрбӣн дада.	моего отца звали дада , эвенкийское имя дада.
hаялэ та̄ла̄ ӈинакир, гошаядӯ.	нет там собак, у гоши.
бры= брызгэвэттерэ.	брызгают они.
а ӈинакин тар со̄лилча, hа̄ргиткӣ гуннэ:	а собака стала сплетничать, говоря черту:
гусё тар hутэлвон.	сказал он детям.
би нян туксасинэм карабиндула̄и.	я опять побежал к карабину.
илан тырганӣл ӈэнэчалатын, эмэрэн.	когда прошло три дня, пришла.
а то хувэр рыбакил бичол эрэ амӣӈахастэ̄.	а то вы были рыбаки, этот, отец твой покойный.
дяпкӣдӯи hурусо̄в, дяпкун анӈанӣдӯ.	на восьмом (году) пошел, в восемь лет.
потом потаптук нуӈарнунтын эмэхилдэрэв.	потом из потапова с ними стали ехать .
бумулифкӣл орор, хиңненэ.	умирающие олени, жалко очень
гунэ.	они сказали:
дуннэла̄ бурум.	я упала на землю.
дюр hутэси, этырко̄си, hавалдяран тадӯ.	с двумя детьми, замужняя, работает она там.
hо̄ксэ ӈэнэдерэн.	кровь идет.
мэнмактэл иргэктэл орорво-кэ кикчафкӣл.	комары, пауты оленей-то кусают.
мурӯкэ̄дявкӣ амутва, мурӯкэ̄дявкӣ.	кружил, кружил вокруг озера.
а би хэлэ амаскӣ мучувохиндем хэлэ улдэӈилван, улдэлво.	а я вот назад отвожу  мясо, принадлежащее ему, мясо.
ну что еще, потом долболтоно депдōтын ōңнам, чтоб долбо дебдедōтын, һутэлдуйӣ	ну что еще, потом вечером поесть делаю, чтобы ночью поели, детям.
их никак, эчэв, албарав дявадями.	так их никак не, не смогли мы поймать.
мом эло̄ hэлэ эмэсо̄в.	сам сюда вот приехал.
ну, улгучо̄ндем.	ну, расскажу.
тадук элэ, тар эконэм на̄вканэ, ама̄ка̄н лукӣлвэн hэлэ пēрēм о̄лча аямамалэ.	потом вот, не попав, дедушка стал делать настоящие стрелы, очень хорошие.
****	****
эдук этэм hинди гиркӣта̄рэ».	другом тебя больше не буду считать».
этэйэтчэңкӣн амиңэhэ.	покойный отец сторожил.
кэӈгило̄ртын кэӈгило̄рин до̄лдым.	их колокольчики, его колокольчики услышала.
эмэрэ-дэ̄ удялӣн.	приехали по следу.
****	****
потом дэлкэндӯи, эевэл гада̄и, туктысо бисё.	потом на лабаз что-то взять залез.
тогда варак гунденэ:	тогда враг говорит:
hутэлви девдо̄тын, тар дюгудевкӣ бисё тар киӈгит.	тот кингит приносил детям поесть.
а орор тоже ӈэ̄лэлчэ̄л бипкӣл.	олени тоже испуганные были.
толгокӣдуктэпи юм, амӣ нёгую уитчэнман пока.	я вышла из своих санок, пока отец привязывал передового оленя.
пустырэ нуӈанман.	отпустили его.
илда.	встали.
место ая тоже.	место хорошее тоже.
индисо̄тин дуктэ.	жили они вдвоем.
ама̄ка̄тка̄нмэ hуюкуко̄нмэ дявудеча̄тын.	они поймали маленького медвежонка.
эрэ ганалчил эмэсолдо̄.	вот стрелки пришли.
эдын hукугичо нуӈаригитын.	ветер стал отворачиваться от них.
ēкур илкэ̄ндекисилтын?»	чьи это зарубки?»
ахал надан толгокӣтын бифкӣл, бэйэлңӣл дяндук дюрэ, дяндук илан бинэл.	у женщин семь саней грузовых было, у мужчин двенадцать, тринадцать было.
эя-вэл, ēкуӈан биноро? — гунденэ, никосо. —	кто, откуда могут быть? — вот он говорит. —
чокна̄стэв чаӈиттула̄.	пошли убивать к медведю.
эртыкӣ амутка̄н хэгдыӈэ ичэбдепкӣ.	туда озеро большое виднеется.
hуливун о̄дан.	все стало.
тар бэе яӈу яӈуракин, тоготын hиӈкэвкӣ бисё... hиӈкэрӣдевкӣ.	когда тот человек говорит, у них трещит огонь.
тунӈа метрит тариӈитын буручо бичо.	в пяти метрах он упал.
тадук hама̄н тэгэрэн.	потом шаман сел.
сура бичо̄н.	шура была.
хорошо...	хорошо...
илкэ̄ндулӣтын hурукэл».	иди по их зарубкам».
****	****
хоӈкэтчэнтэӈап всех ??.	???
бэе бэе гиркӣн одяӈа̄с.	будешь другом человека.
ойин hарикталча.	над ним начал парить.
«мо̄ла, мо̄ла !»	«дров, дров !»
то̄лӣ эдӯ бисён совhоз.	тогда здесь был совхоз.
«hатанава эр, — гусё, — элэвэл биӈнэдерэ», — гунденэ.	«черта этого, — говорит, — какие-то бывают».
би, куңакан то̄лӣ, аминми луху бэлэдеңкӣф.	я, ребенок тогда, отцу своему всегда помогал.
дядяв ёкэллэн:	дядя закричал:
****	****
энинңэhэйи би аят дончадям.	мать свою покойную я хорошо помню.
так аркича̄тын эхавэв тар.	так они проткнули тот мой глаз.
этэрэв эрэгэрит эдук исевулдэ».	с этих пор никогда не станем показываться на глаза ».
хутэлин ода.	у него появились дети.
би чок... чокча̄в — баh нуӈанман.	я прицелился — бах его
тарин hэкэргэсо-до̄, амаргилдии илконэм, эрэ иконмон тугилвэр уставан каhиливкӣ.	тот рассердился и, встав на задние лапы, вот так всю грудь ему порвал.
дюкчадӯвэр тэгэтчэнэл, тар депденэл, гусол:	когда они сидели у себя в чуме и ели, они сказали:
деньгилби бивук биӈкӣтын мундӯ угот.	деньги у нас всегда были.
уhо̄лчо̄н.	заболел.
аминин хирогир дмитрий, аминин  удыгир валентина трофимовна.	отец ее хирогир дмитрий, мать удыгир валентина трофимовна.
э та̄дӯ но̄рәв нуӈанман.	там мы похоронили его.
турудӯ учӣтчав.	в туре учился.
интернаттӯ только депиӈкӣвун, если что уж.	в интернате мы только ели, если что уж.
диктэлэ экурва ахактадяңкӣф улгукӣлвэ улгукӣлвэ.	за ягодой, за этим, гоняла бурундуков, бурундуков.
исетча-да̄, гундерэн:	увидев, говорит:
****	****
он о̄да?	что с ними стало?
таритпэр ӈо̄лэсилден".	вот этого она станет бояться"
постоянно грамоталва бӯӈкӣтын нуӈандӯн.	постоянно ему грамоты давали.
эмонмучо̄тын гулэлдӯ.	они остались в поселке.
бэел элэ... элэ̅тын адэлилвэр тулэпкӣл дюкэлӣ уже, дюкэлӣ, и оhотятся.	мужики все свои сети ставят по льду уже, по льду, и охотятся.
тара би дёниӈнэм.	это я вспоминаю.
"хулюлан хо̄ куңакан".	"маленький очень ребенок!
 туг никочо̄н бимчэ.	так делала бы она, если бы была.
ӈэнэдесо,	шел,
тарэ, тарилба угадяна, hурурэн эрдэло̄н тар дюлдуктын.	совсем ушел от их чумов, неся эти .
би инектэлдем.	я смеюсь.
уӈундук, аӈил дялин аӈидук, гулэлдук эмэрэ-дэ̄, исено̄ аӈила̄.	родственники из этого, из поселка приехали и поехали посмотреть.
бригадир о̄кэл!"	будь бригадиром!"
и тэгэмӣлэ̄ бидечо̄в.	и до следующего дня был.
тулискӣ ювкӣ-да̄ тар бэе:	этот человек выходит на улицу:
девулдэктын, девуделивкӣ остолдуктын.	когда они начинают есть, он начинает есть с их стола.
умукин эмэнмум би, умукин.	я один остался, один.
минӈӣ омолгӣлви, э̄, дялви товло̄хинэ, господи.	мои сыновья, ой, мои, родственники поехали по ягоду, господи.
аӈиравун, обрадовались, в общем, что, обрадовались, что орор муткӣ эмэчэл дюла̄вэр обратно.	обрадовались, это, что олени наши пришли домой обратно.
****	****
бэеко̄кун исё дюла̄, тар дюла̄.	начальник зашел в чум, в тот чум.
э ӈэлэллэ.	о, испугались.
гēвран, токтоhинэн оӈоктолӣн котот.	он повторил, ударил по носу пальмой.
****	****
****	****
ну, дыгилрэвэ hавалиӈнэм, ну, дюлэшки, дыгилрэвэ амашки.	ну, четыре дня хожу, ну, вперед, четыре дня назад.
туг-до̄ но̄дэ дюла̄и иhим.	так-то хорошо доехала домой.
би гуним:	я подумала:
эпкӣ это каhиргарэ — ну и ладно — этыргарэ, то есть.	не ломается, то есть не рвется.
виборил бюллетэрвэ ңэнэвуңкивун.	на выборы мы бюллетени привозили.
и окин энинми мирэчэн, окин панкагирил мирэчэтын hукачарилдӯ, hукачарил гуниңкӣтын:	и когда моя мать вышла замуж, когда женились панкагиры на хукочарах, то хукочары говорили:
би дюрвэ тадӯ hорокӣлвэ ва̄мэ.	я двух там глухарей убил.
уркэе эделиконми аӈарэ, бурупкӣ.	не успев открыть дверь, упал.
улдэко̄курвэ девдерэ.	мясо едят.
и тадук-дэ̄ гунипкӣ:	и потом-то говорит:
ӈо̄лэпко̄силдэ.	стали пугать.
илмакта хавалилча̄в.	молодая начала работать.
«тариӈилнум бидедеӈо̄с, —	«ты будешь с этими моими , —
амӣ, амӣнун хурурэв охотникилдула̄ аха.	отец, с отцом мы пошли к охотникам, ага.
илмактадӯи дядянунми оhотылсядича̄в.	в молодости я охотился со своим дядей.
гундерэн:	говорит:
ча̄тырэлвэ, чипка̄рвэ — элэватын бултаӈкӣн нуӈан.	песцов, соболей — всё добывал он.
эдӯ ербэкэдӯ все время эдӯ бидечэ̄в.	все время здесь жила.
до сих пор, до старости бичо̄н, ēhан не видел.	до сих пор, до старости был, глаз у него не видел.
абачӣ улурэн тыпара̄ва и тыпаллан оӈоктови, hо̄ксэ эдо̄н оёнэ.	медведь откопал грязь и стал мазать свой нос, чтобы не текла кровь.
би албаhича̄в илдями.	я не мог встать {потому что привязанные к поясу собаки побежали}.
амӣндӯф кэтэ орон бисо̄н.	у моего отца было много оленей.
эдӯ мо̄тӣмӣдичо̄в бэюрэ.	здесь охотился на диких оленей.
вспомнила.	вспомнила.
туг-до̄ эсэ на̄вканэ.	так и не попал.
тадук нуӈан гунэн:	потом он сказал:
садиктӯ хавалча̄в тоже.	я работала в детском саду тоже
«тадӯ индерэ аямамат», — гуннэ, гуннэ, hэhэнэн.	сказал: «там живут очень хорошо, — рассказал. —
тадук тукса̄hинэн аманя.	потом побежал быстрее.
би нянчисилча̄в хинэ.	я стала тебя нянчить.
ну бу сурурэв та̄ла̄.	ну мы поехали туда.
кэтэ бичэтын омолгӣл, кэтэ hунатыл бичэтын, асаткар.	много было сыновей, много дочерей было, девушек.
эрупчут инчо̄вун амаскӣ хо̄т.	плохо жили раньше
амӣм толгокӣва оран hурупдо̄и энӣнмэф дундэӈдуло̄н и эдӯ но̄до̄и.	отец санки сделал, чтобы увезти мать на ее землю и здесь похоронить.
биралду hиндатчав делилвэ, нирусярвэ, майгулвэ.	на реке рыбачу тайменя, хариусов, линков
мӯ одан тадӯ.	там появилась вода.
тар-да̄ хурувупкӣл дяндук дюлдо кило= дӣгин няматэ ки= километр хэлэкэмэт.	везли двенадцать дней четыреста километров с лишним.
ну амаскӣтэ еще орорриктэлди же гиркуӈкӣтынтэ.	ну раньше же еще на оленях только же ездили-то.
да.	да.
****	****
магазиндӯ сдайча̄вун оллолво, уллэлвэ, чипка̄рвэ.	сдали в магазин мясо, рыбу, соболей.
аӈил, бэел аӈилтын, игилтын до̄лдывра.	это, голоса людей слышны.
****	****
гил эвэн... ӣдук, ӣдук энӣ бичэ̄н — нуңартын бичэтын большой порогтук, аминтын нуңартын панкагирскайдук родтук бичэтын.	откуда откуда мать была — они были с большого порога, отец их, они из рода панкагиров были.
ну тадук нуӈан аӈидерэн...	ну потом он это...
****	****
нуӈартын акчулла дялдула̄вэр.	они стали рваться к своим товарищам.
дынӈӣлэ̄чо где-то дэрэло̄тын тадӯ.	он  бежал там им навстречу .
би, би ӯчакки дявамалчам тадук.	я своего учака быстро поймала потом.
дежуритде... дежуридепкӣл куңакар долбонӣвэ.	дежурят дети всю ночь.
пришлось ӈэнэдемит.	пришлось пешком идти.
hукитэи гаран-да̄, бӯрэн эдыткӣи.	живот свой взяла и дала мужу.
это̄н-нун эрупчут ора".	он не будет делать плохо".
hомо̄тыва умуко̄н раз ва̄мэ.	медведя один раз убил.
интэрнаттӯ так-то бидеӈкӣв.	я так-то в интернате жила.
нуӈан же гиркурэн.	он  же ходил.
эмэдеӈнэвун.	мы приходим...
омо̄ним тэгэмӣлэ̄.	оставил до следующего дня.
вот тундра, правду.	вот тундра, правду.
потом вертолетыт дэгрэвун.	потом мы вертолетом прилетели.
«бу у... утэлэ эвэнкӣлвэ... утэлэ эвэнкӣл аhӣявар гэңкӣтын hуңтулдук дуннэлдук, hуңтулдук дуннэлдук».	«мы раньше, эвенки жену брали из других земель, из других земель».
****	****
****	****
****	****
а уӈундӯ тавар валектӯ эхӣ эр валек биден, тадӯ аӈипкӣл бичол, орорвэр дявучапкӣл бичол.	а там, этот самый, в вальке,  сейчас этот валек будет, там это самое делали, оленей держали.
ещё дагама̄ва̄т».	давай еще приблизимся».
«hама hамаhалдӯ!»	«хама хамахалду!»
ичэтчэрэн:	видит:
охотникил аха ēкунди эмэркэл, не помню.	охотники, ага, на чем приехали, наверное, не помню.
бурэ нуӈандӯн та̄нда̄н.	дали ему закурить .
тут на дымокур оленям таскаем.	тут на дымокур оленям таскаем.
гулэлдӯ, там о̄кӣ — три, илалдава бичо̄вун.	в поселке, там сколько — три, три дня мы были.
эдӯ поhоронен, hукуло̄дерэн.	здесь похоронен, лежит.
****	****
раньше вон товлӣдэ̄и аявуӈкӣв прямо.	раньше вон я прямо любила собирать ягоду.
нямадивэ то̄лӣ ва̄чал.	сотни тогда убили.
****	****
тар гурустӯ гиркудярӣл.	те, кто с грузом ходили.
эмэрэв.	приехали.
туксадеда̄вэр дилдан..., дилдандяда̄вэр.	лишь бы побегать, повоображать.
хорокӣла пэктирондеңо̄с, хэлакӣла, эми гунэ хэлакӣла.	глухарей стрельнешь,  куропаток – не говоря уж о куропатках.
дядя гунэн:	дядя сказал:
и все равно, он-мэр кэденэ, попаллэн нуӈардӯтын.	и все равно как-то попался к ним.
иди, ча̄скӣ окэл, дӣскӣ, дӣскӣ амӈадук, дӣскӣ окэл.	в стороне будь, подальше, подальше от входа, подальше будь».
обыкновенная, ну.	обыкновенная, ну .
хорошая бабка бичо̄н.	хорошая бабка была.
«а сӣ экун биhиндэ?»	«а ты кто?»
нуӈан тэгэтчэчэ̄н эдынунми.	она сидела с мужем.
****	****
куӈакар hаялэ дюдӯвэр.	детей нет в чуме.
****	****
дюр hутэи эдӯдо̄ балдылдыга̄са̄н.	двоих детей она здесь с ним родила.
****	****
тэгэтчэрэн.	сидит.
если куңакан кутуси, куңакан кутуси биhикин, орорин балдылифкӣл.	если ребенок счасливый, если ребенок счастливый, олени его растут.
тоже нимӈака̄нли, ēкунли.	тоже сказка ли или что ли.
балдыча бихим.	родилась.
«бурӣкэлду минэ, — гусё. —	«уроните меня, — сказал. —
«воспитывать»-то онэ.	«воспитывать»-то как?
ну и hуктыдерэ.	ну и бегут.
продуктов мало га̄ча̄вун, продуктэлвэ.	продуктов мало взяли.
амӣндӯф hама̄н гусо:	отцу шаман сказал:
тар умукон аӈанӣ нуӈандӯн бисёв-до эло̄ отпускала̄и эмэм.	в один год я у него был, сюда (в поселок) в отпуск приехал.
аминми гэрбин бисо̄н удыгир иннокентий николаевич.	моего отца звали удыгир иннокентий николаевич.
то̄лӣ-мок тодёдёӈо̄тын, hэргӯдӯ дундэдӯ бисё, бисё», — гуннэ.	только тогда поверят: был на нижней земле», — говорит.
экспедициял тар о̄ра-да.	экспедиции это самое сделали.
муттук hэлэкэт индерэ тар hэргӯдӯ дундэдӯ.	они на этой нижней земле живут лучше нас.
ну горово̄ эсён hавалда тар казах, казаhстанилдук эмэсё.	ну, долго не работал тот казах, из казахстана приехавший.
эңкӣн та̄нэ, эңкӣн умда.	не курила, не пила.
потому что илмактал бичо̄тын сами ӈинакир.	потому что были самые молодые собаки.
и минэ гунэ:	и мне сказали:
hэвэкӣ-тэ гунэн:	бог-то сказал:
тэвла̄hидеча̄вун это дюр анӈанӣл.	мы ходили по ягоду два года .
экуннун?	с кем?
дыгиндян километр.	сорок километров.
ну, туг гундерэн:	ну, так говорит:
****	****
дулиндӯтын дюкчал исчэндэ-до̄, исетто̄и тар hэгдымомовэтын дюва-до̄.	ты дойдешь до середины чумов, чтобы увидеть этот огромный чум».
дынӈӣлэ̄hинчичо.	он побежал.
би гундем: "ӈа̄лэ".	я говорю: "рука".
и= ило-до ңэнэдеңо̄с оронди.	хоть куда доедешь оленем.
нуӈартын гуниӈкӣтын: чипича киӈгит.	они говорили: птица кингит.
hэки эрдэлон тар илитчэрэн пэhисивсё.	эта большая лиственница до  сих пор стоит расколотая.
тугэ, тугэ, та̄ла̄ мо̄лвэ но̄кэллу, та̄ла̄.	так, так, туда палки положите, туда.
дэрӯмкисадем.	отдыхаю.
а акӣм эрупчут индесо̄н тадӯ.	а мой старший брат плохо жил там.
эвкӣл-дэ̄ исерэ-hинчэ нуӈанман, эйдэрэ.	кажется, не видят его и не замечают.
hороликтэдеча бичо.	крутился.
ӈэлэвсико̄, hэгдымама, hэгдымама бичо̄н.	очень страшный, большой-большой был.
тоже мо̄тӣмӣдичо̄в hӯксинун март дулиндӯн.	тоже охотился на лыжах в середине марта.
би танчэлдем нуӈарватын».	я их вытяну».
иргисил удялватин, дянтакил удялватин иседэңо̄с.	волков следы, росомах следы увидишь.
яӈилдӯ бивкӣ, бисё, тар иhэлдӯ.	на горах бывал, был, на камнях.
потом, потом уже тылим, тылим, как только гунэ рациялӣ, hанӈӯктам.	потом, потом уже я понял, понял, как только, сказали по рации, я спросил
дян класспэ манача̄в.	десять классов закончила.
нулгӣсчэвун, нулгӣсчэвун, улумӣсчэвун, итыга̄чавун, дюи... дюдук, дюдӯвэр итыга̄лчавун, нулгӣсчэвун.	аргишили , аргишили, охотились, собирались из чума, в чуме начинали собираться, аргишили
ахал-да э̄-нэ хавалдяфкӣл.	женщины тоже это, работали.
тар бэе яӈудярӣван гундерэ: «тар того hин..., тогот hиӈкэрӣдерэн».	про то, как разговаривает этот человек, они говорит: «наш огонь трещит».
и улдэӈилван дёвулдедем.	и мясо, принадлежащее ему, стану перевозить.
«синдӯ окин аңанӣс бичэн?»	«тебе сколько лет было?»
орон эвэнкӣдӯ элэдэ hэгди бэлэго.	олень для эвенка все-таки большой помощник.
тадук hурусёлон, тарэ умукон эмэсён.	потом, когда он ушел (уволился), тот один пришел.
****	****
илан аңанӣсил бинэл, куңакар асир о̄ңкӣтин, улгучонмочилчол би... бинэл.	будучи трехлетними, начав разговаривать, дети умирали.
ага, ну боло-тэ, ӈинакирди.	ага, ну осенью-то, с собаками.
би гунилим аматкӣ: «бӯнӣдерэ, ӈэ̄лэвсы», — гунилим.	я стала говорить деду: «воют, страшно», — стала говорить.
киӈгит hутэлин-то̄ тар ёнмасилчал.	дети-то кингита очень испугались.
****	****
аха уркэватын аӈамда̄, перчаткэлвэ ичэм, туг харбалдэдерэ.	ага, их дверь я открыла и перчатки увидела, вот так ???растопыриваются???
таргит эмэчол бичо̄тын тоже.	оттуда тоже они приехали.
о̄кир би тэпкэлим-дэ̄, тадук тарил hимӯргара .	когда я крикнула, все затихло .
тугдо̄ би дюло̄скӣ hуктывуhинэм.	так-то я вперед поскакала.
прямо думала: бэее этэм бакара.	прямо думала: мужчину не найду.
аӈидӯ, долболтоно  истан.	это, вечером  доехал.
и нуӈан тэгэрэн.	и он сел.
потом, тадук би вертолетыт әла̄ әмәhинәм.	потом я на вертолете сюда прилетела.
и то еще, аӈи, утунилипкӣ до̄ла̄, наверное, утунилиргун.	и то еще это самое, чешется, наверное, внутри чешется.
эчол биhивун hарэ.	мы не знали.
нюрма̄чал.	подкрались.
амӣнӈаhав аӈилча, логӣлчо, гуннэ:	отец покойный это начал, ругаться стал, сказав:
а этырко̄м гунден:	а мой муж говорит:
би дедушка... ой, амаканун, амӣнун-hэ, би нулгӣсиним.	я  с дедушкой, с отцом аргишила.
****	****
hама̄н hама̄нилдан.	шаман начал шаманить.
****	****
тар эмча.	это бы сделали.
арчэмкачалдэ̄ мунэ — һая̅лэ: амандӣчал.	встречали нас — но не было: опоздали.
ачин, ачин.	нет, нет .
тāдук умукōндӯ дӣскӣ хуручōвун тартикӣ алик стāдолā.	оттуда вместе в лес поехали туда в стадо алика.
эвкӣл нуӈанман исерэ тариӈилин, эвкӣл эйдэрэ-дэ̄.	его не видят и не замечают.
тāлā «буран» эмэктэчэ̄ холкит.	там «буран» приезжал недавно.
ороло... оромиловун тадӯ тырэмтычо бичо.	наших оленей он давил там.
и то̄лиӈэ̄ будан учамиду.	и тотчас умер в учами.
ня̅демāчāвун орокōрвэ, где-то дяпкуталва-хинче.	получили в подарок оленей, где-то по восемь голов.
дебӈэнэлвэр дебдерэ тарэ ӈо̄нимил.	свои объедки едят эти, длинные.
и долболтоно тэгэтчэрэн.	и вечером сидит.
нуӈарӈӣтын удялтын ачир.	следов их нет.
да да.	да, да
нуӈартын мучӯчал, дюкчала̄вэр эмэчэл, орорвун, орорин тарэ нуӈанӈӣлин.	они вернулись, к чумовищу пришли наши олени, олени эти его.
тоже ӯчакки пустым би мэ̄нӈӣви.	я тоже отпустила своего учака.
тадук аӈилби, орорби илда.	потом мои эти, олени встали.
«hэвэкӣ hэлэ аӈилба одявкӣ.	«бог-то этих самых делает.
«hэлэ би эрэ, мо̄т аӈэ, бэйӈо̄ ирэксэвон олгӣкта.	«вот я это, палкой высушу шкуру дикого оленя.
«давай дундэвэ hо̄гинтуга̄т».	«давай землю пинать».
дялдӯи hэhэндеӈо̄в.	друзьям расскажу.
потом эмэрэ.	потом они пришли.
горо бичō тāду стāдотын: нямāди дя̅н километр потаптук.	далеко было там их стадо: сто десять километров от потапова.
толко школалдук hуручэ.	только из школы ушел.
«аминдӯвэр энэл hилбара.	«не говорите своему отцу.
кассирдӯ хавалча̄ф дян анӈанӣвэ.	кассиром проработала десять лет.
«кэ, — гунэм, — якут голомовон бакам».	«вот, — сказал я, — я нашел зимний чум якута».
дюр мо̄ва, мо̄ка̄рбэ оран, дуктэвурэи.	сделал две палки, две палочки-колотушки.
****	****
кешав балдырэн.	кеша мой родился.
дигали.	на дигали.
гундерэн:	говорит:
эвкӣл-да минэ исеhинэ.	не смотрят на меня.
эдуквэhин этэ̄ндэ ēкунмада̄ бакара ила̄да̄ hурурэ». —	отсюда ничего не найдешь, никуда не уйдешь». —
а то̄лӣ бидичэ̄тын чулугдыл.	а тогда были чулугды .
амтылви эмэрэ, гунми тар, аминми умнэ хэхэнча̄н миндӯю, он эло̄ эмэрэ, эр дундыло̄, агатадук.	родители мои приехали, так сказать, отец мой однажды рассказал мне, как сюда приехали, на эту землю, из агаты.
«ча̄гит тогда дявакал ӈа̄лэлдиви.	«подальше тогда схватись руками.
вот эhӣко̄тко̄н тēтēткӣ ӈэнэдеча̄вун.	вот сейчас мы ездили в тетею.
ну перегондэит эмэчо̄в, эмэчо̄вун.	ну, перегонными  я приехала, мы приехали.
горово илитча̄н.	долго он стоял.
****	****
дептилэлэтын эмэпдерэ.	продукты привозят.
****	****
нуӈартынкӯн нюрма̄чал, аямамат ичэтчэчол.	они-то подкрались, хорошенько смотрели.
бултадеңо̄с дэвдо̄йи бэйңо̄йэ бэюнэ.	добудешь поесть дикого оленя, дикого оленя{*}.
потаптулā тарилдук гиркудеӈнэрэвун.	в потапово от них ездили.
таравэ hэлэ тар гусё ӈинакинма:	потом вот он сказал собаке:
би элӣ балдиса̄в.	я здесь родился.
hавалдяпкӣн олдяча̄н-кэ.	стал-то работать.
эхӣ бэдни нуӈардуктын элэдуктын индерэн уӈун, элэ, галя, а, самая младшая.	сейчас, бедные, из них из всех живет эта, вот галя, а, самая младшая.
hэлэ дуктэмкорэн-до̄, hутэлин ёнмасилчал.	вот он стал колотить, и дети очень испугались.
гугарэтчэрэ.	звенят гугарой .
вот эдӯ-тэ индемэ дюрдяр аӈанӣва екэӈдэдӯ.	вот здесь живу двадцать лет в эконде.
эванда эчэ̄в ичэттэ.	ничего у нее не посмотрел.
эчэ, hорошо, эчэ hуктыллэ, мунэ аhаhинэ.	хорошо, не побежал за нами вдогонку.
тадук эло̄ эмэӈнэрэв.	потом сюда приходим.
вот тарбава аңанӣвэ инчэн минңи эбэкэф.	вот столько лет жила моя бабушка.
он-кэ никэлдерэ?»	что же они будут делать?»
тогориктатын тар hиӈкэрӣдерэн, би бидерӣвэ эдӯ.	только огонь у них трещит, хотя я здесь.
тадук амӣм эмэрэн.	потом отец приехал.
«юллэн», —	«начал выходить», —
орорвун манавра.	наши олени закончились.
куӈакан, ама̄ка̄н-тэ, этырко̄н инде... — илани, энӣтын.	ребенок, и дедушка-старик, и мать — трое.
****	****
мӯе гэлэ̄ктэнэ̄hинэн.	пошел за водой.
«ну, — гундерэн, — видно, иланэ тырганӣл hира̄нипкӣл, аӈэ, макитка̄р о̄да̄тын».	«ну, — говорит, — видно, три дня спариваются, чтобы были медвежата».
нуңан экун бисо̄н туруhанскадӯ.	она это, была в туруханске.
ӈа̄лэлвэ хо̄ӈна̄сал.	руки отрезали.
суглан оран-да гунэ: "эло̄ элэ- элэ- элэт эмэго̄т умундӯ бид бида бидеп биго̄т".	суглан сделал, говоря: "сюда все давайте придем, все вместе здесь будем, давайте будем".
опять hурурэн.	опять пошел.
би эhикон улгучо̄ндим эниңэhэйӣ удыгир наталья яковлевнава.	я сейчас расскажу о своей покойной матери удыгир наталье яковлевне.
эр ама̄ка̄н гусё:	дедушка сказал:
дюла̄тын иконэмил, гусол.	когда пришли в их чум, они сказали:
